stock_id,feature_date,target,max_return,max_return_date,trading_days_count
1529,2024-03-31,1,0.18168389955686848,2024-04-18,22
1530,2024-03-31,0,0.015384615384615385,2024-04-19,22
1531,2024-03-31,0,0.03409090909090917,2024-04-15,22
1532,2024-03-31,1,0.4966532797858098,2024-05-03,22
1533,2024-03-31,1,0.08141962421711897,2024-05-02,22
1535,2024-03-31,1,0.26953125000000006,2024-04-19,22
1536,2024-03-31,1,0.11462450592885369,2024-04-30,22
1537,2024-03-31,0,0.007168458781362007,2024-04-01,22
1538,2024-03-31,0,-0.0025575447570332843,2024-04-01,22
1539,2024-03-31,1,0.07128309572301425,2024-04-09,22
1540,2024-03-31,1,0.12732095490716172,2024-05-03,22
1541,2024-03-31,1,0.06771653543307082,2024-04-12,22
1558,2024-03-31,0,0.0,2024-04-01,22
1560,2024-03-31,1,0.124282982791587,2024-04-02,22
1563,2024-03-31,1,0.10081112398609506,2024-04-17,22
1565,2024-03-31,0,0.013192612137203167,2024-04-01,22
1568,2024-03-31,0,0.03448275862068968,2024-04-01,22
1569,2024-03-31,0,0.04674796747967474,2024-04-02,22
1570,2024-03-31,1,0.4878787878787879,2024-04-09,22
1580,2024-03-31,0,0.0125,2024-04-02,22
1582,2024-03-31,1,0.050273224043715786,2024-05-03,22
1583,2024-03-31,0,0.023653088042050085,2024-04-10,22
1584,2024-03-31,1,0.05673758865248227,2024-04-10,22
1585,2024-03-31,0,0.019999999999999928,2024-04-10,22
1586,2024-03-31,0,0.028124999999999956,2024-04-15,22
1587,2024-03-31,1,1.1791530944625408,2024-04-29,22
1589,2024-03-31,0,0.015594541910331468,2024-04-01,22
1590,2024-03-31,1,0.07142857142857142,2024-04-10,22
1591,2024-03-31,0,0.0044843049327353834,2024-04-01,22
1593,2024-03-31,0,0.01583949313621964,2024-04-10,22
1594,2024-03-31,0,0.0,2024-04-01,22
1595,2024-03-31,0,0.01251738525730169,2024-04-10,22
1597,2024-03-31,0,0.049450549450549566,2024-04-10,22
1598,2024-03-31,0,0.029315960912052186,2024-04-09,22
1599,2024-03-31,0,0.00464396284829739,2024-04-15,22
1603,2024-03-31,1,0.25892857142857145,2024-04-22,22
1604,2024-03-31,0,0.025337837837837836,2024-04-09,22
1605,2024-03-31,1,0.1185086551264981,2024-04-18,22
1608,2024-03-31,1,0.5896147403685092,2024-04-19,22
1609,2024-03-31,1,0.5813953488372093,2024-04-19,22
1611,2024-03-31,1,0.1445427728613569,2024-04-18,22
