period,test_date,stock_id,model_name,predicted_value,actual_value,error_percentage,error_absolute
78,2019-05,8299,Prophet,3258641185.351947,3355208000.0,2.8781170838902734,96566814.64805317
79,2019-06,8299,Prophet,3258805304.4712424,3343520000.0,2.533697885125783,84714695.52875757
80,2019-07,8299,Prophet,3243421403.4174776,4062819000.0,20.168203323419586,819397596.5825224
81,2019-08,8299,Prophet,3331699854.0563912,4272747000.0,22.0244059838696,941047145.9436088
82,2019-09,8299,Prophet,3427268775.2702265,4058337000.0,15.549921673083666,631068224.7297735
83,2019-10,8299,Prophet,3476328479.864067,4697324000.0,25.993427750266594,1220995520.135933
84,2019-11,8299,Prophet,3635832621.1276665,4380889000.0,17.00696773810826,745056378.8723335
85,2019-12,8299,Prophet,3785160676.544483,4095181000.0,7.57036925731773,310020323.4555168
86,2020-01,8299,Prophet,3843644864.971906,3325942000.0,15.565601113065297,517702864.9719062
87,2020-02,8299,Prophet,3779417022.3750324,4001968000.0,5.561038409726605,222550977.62496758
88,2020-03,8299,Prophet,3867538678.835001,5538793000.0,30.173619435949295,1671254321.164999
89,2020-04,8299,Prophet,4146884633.1844473,3579202000.0,15.86059219860872,567682633.1844473
90,2020-05,8299,Prophet,4110558871.0978165,3905092000.0,5.261511664714083,205466871.09781647
91,2020-06,8299,Prophet,4125262526.3771296,3370555000.0,22.391194517731634,754707526.3771296
92,2020-07,8299,Prophet,4037006267.132679,3849067000.0,4.882722673642183,187939267.132679
93,2020-08,8299,Prophet,4049098617.06078,3743807000.0,8.15457680005353,305291617.06078005
94,2020-09,8299,Prophet,4037106793.321852,4341123000.0,7.003169610217168,304016206.6781478
95,2020-10,8299,Prophet,4116293355.8556476,4447850000.0,7.454312626198105,331556644.14435244
96,2020-11,8299,Prophet,4173108753.173668,4218291000.0,1.0711031274592504,45182246.82633209
97,2020-12,8299,Prophet,4211602650.131391,4174832000.0,0.880769576629456,36770650.13139105
98,2021-01,8299,Prophet,4249837076.4974976,4060743000.0,4.656637381323998,189094076.49749756
99,2021-02,8299,Prophet,4263442844.7282305,3654613000.0,16.659215209058537,608829844.7282305
100,2021-03,8299,Prophet,4224054528.560138,5172594000.0,18.337790892535967,948539471.4398618
101,2021-04,8299,Prophet,4357799011.381448,5090578000.0,14.39480916741777,732778988.6185522
102,2021-05,8299,Prophet,4492417514.268999,5696048000.0,21.13097512048706,1203630485.731001
103,2021-06,8299,Prophet,4707941800.992223,5123350000.0,8.108136258654538,415408199.0077772
104,2021-07,8299,Prophet,4790103940.020356,5482184000.0,12.624166937476813,692080059.9796438
105,2021-08,8299,Prophet,4935348392.64771,5706563000.0,13.514520164804807,771214607.3522902
106,2021-09,8299,Prophet,5080320866.851143,5737799000.0,11.458716716093699,657478133.1488571
107,2021-10,8299,Prophet,5208581555.785235,6036781000.0,13.71922294704354,828199444.2147646
108,2021-11,8299,Prophet,5371571918.795281,5802942000.0,7.433644541074486,431370081.2047186
109,2021-12,8299,Prophet,5490071899.412516,4992997000.0,9.955441579726878,497074899.41251564
110,2022-01,8299,Prophet,5500805146.245872,5418890000.0,1.5116591450623935,81915146.24587154
111,2022-02,8299,Prophet,5558095218.096278,5307336000.0,4.724766212206617,250759218.0962782
112,2022-03,8299,Prophet,5582664355.326903,6379633000.0,12.492390152742276,796968644.6730967
113,2022-04,8299,Prophet,5740378746.925825,5901725000.0,2.7338829422613706,161346253.07417488
114,2022-05,8299,Prophet,5837947008.429957,5099437000.0,14.482187120459717,738510008.4299574
115,2022-06,8299,Prophet,5829086455.593093,5284253000.0,10.310510408814508,544833455.5930929
116,2022-07,8299,Prophet,5822580415.462085,5342363000.0,8.988857841784334,480217415.4620848
117,2022-08,8299,Prophet,5829534988.924162,4423361000.0,31.789718020395846,1406173988.924162
118,2022-09,8299,Prophet,5767953847.807585,4808884000.0,19.943709347274435,959069847.8075848
119,2022-10,8299,Prophet,5740674711.310535,4205901000.0,36.490961420883075,1534773711.3105354
120,2022-11,8299,Prophet,5645098618.6955185,4082304000.0,38.28217150647082,1562794618.6955185
121,2022-12,8299,Prophet,5568605108.04616,4002055000.0,39.14364265474012,1566550108.0461597
122,2023-01,8299,Prophet,5486278406.458013,2878167000.0,90.61709784241194,2608111406.4580126
123,2023-02,8299,Prophet,5280211215.149942,3274873000.0,61.23407579927351,2005338215.1499424
124,2023-03,8299,Prophet,5111253938.077062,3925381000.0,30.21039073855663,1185872938.0770617
125,2023-04,8299,Prophet,4999558770.257898,3366959000.0,48.48885211426389,1632599770.2578983
126,2023-05,8299,Prophet,4835184636.142783,3201684000.0,51.02004558047525,1633500636.1427832
127,2023-06,8299,Prophet,4623976272.571793,3438001000.0,34.49607119287611,1185975272.5717926
128,2023-07,8299,Prophet,4474629382.049477,3394299000.0,31.82779071759667,1080330382.0494766
129,2023-08,8299,Prophet,4246462519.1404543,3990403000.0,6.416883686696664,256059519.1404543
130,2023-09,8299,Prophet,4142994859.386459,5003863000.0,17.204070947057126,860868140.6135411
131,2023-10,8299,Prophet,4220976475.7962284,5158905000.0,18.18076751178344,937928524.2037716
132,2023-11,8299,Prophet,4265667692.1828456,5407270000.0,21.112359986040172,1141602307.8171544
133,2023-12,8299,Prophet,4333913747.417105,5181825000.0,16.363178080751382,847911252.5828953
134,2024-01,8299,Prophet,4364115301.03074,5086003000.0,14.19361528039327,721887698.9692602
