,date,stock_id,type,value,origin_name
173,2017-12-31,1103,EquityAttributableToOwnersOfParent,938252000.0,淨利（淨損）歸屬於母公司業主
174,2017-12-31,1103,NoncontrollingInterests,50457000.0,淨利（淨損）歸屬於非控制權益
175,2018-03-31,1103,IncomeBeforeIncomeTax,193386000.0,稅前淨利(淨損)
176,2018-03-31,1103,NetIncome,160164000.0,本期淨利(淨損)
177,2018-03-31,1103,OperatingExpenses,105480000.0,營業費用
178,2018-03-31,1103,TAX,33222000.0,所得稅費用（利益）
179,2018-03-31,1103,EPS,0.24,基本每股盈餘（元）
180,2018-03-31,1103,PreTaxIncome,193386000.0,稅前淨利（淨損）
181,2018-03-31,1103,IncomeFromContinuingOperations,160164000.0,繼續營業單位本期淨利（淨損）
182,2018-03-31,1103,IncomeAfterTaxes,160164000.0,本期淨利（淨損）
183,2018-03-31,1103,TotalConsolidatedProfitForThePeriod,218315000.0,本期綜合損益總額
184,2018-03-31,1103,Revenue,471257000.0,營業收入
185,2018-03-31,1103,CostOfGoodsSold,416427000.0,營業成本
186,2018-03-31,1103,GrossProfit,54830000.0,營業毛利（毛損）淨額
187,2018-03-31,1103,OperatingIncome,-50650000.0,營業利益（損失）
188,2018-03-31,1103,TotalNonoperatingIncomeAndExpense,244036000.0,營業外收入及支出
189,2018-03-31,1103,OtherComprehensiveIncome,58151000.0,其他綜合損益（淨額）
190,2018-03-31,1103,EquityAttributableToOwnersOfParent,152305000.0,淨利（淨損）歸屬於母公司業主
191,2018-03-31,1103,NoncontrollingInterests,7859000.0,淨利（淨損）歸屬於非控制權益
192,2018-06-30,1103,IncomeBeforeIncomeTax,19020000.0,稅前淨利(淨損)
193,2018-06-30,1103,NetIncome,281482000.0,本期淨利(淨損)
194,2018-06-30,1103,OperatingExpenses,61211000.0,營業費用
195,2018-06-30,1103,TAX,53221000.0,所得稅費用（利益）
196,2018-06-30,1103,EPS,0.38,基本每股盈餘（元）
197,2018-06-30,1103,PreTaxIncome,19020000.0,稅前淨利（淨損）
198,2018-06-30,1103,IncomeFromContinuingOperations,-34201000.0,繼續營業單位本期淨利（淨損）
199,2018-06-30,1103,IncomeAfterTaxes,281482000.0,本期淨利（淨損）
200,2018-06-30,1103,TotalConsolidatedProfitForThePeriod,1726168000.0,本期綜合損益總額
201,2018-06-30,1103,Revenue,529670000.0,營業收入
202,2018-06-30,1103,CostOfGoodsSold,439665000.0,營業成本
203,2018-06-30,1103,GrossProfit,90005000.0,營業毛利（毛損）淨額
204,2018-06-30,1103,OperatingIncome,28794000.0,營業利益（損失）
205,2018-06-30,1103,TotalNonoperatingIncomeAndExpense,-9774000.0,營業外收入及支出
206,2018-06-30,1103,OtherComprehensiveIncome,1444686000.0,其他綜合損益（淨額）
207,2018-06-30,1103,EquityAttributableToOwnersOfParent,246811000.0,淨利（淨損）歸屬於母公司業主
208,2018-06-30,1103,NoncontrollingInterests,34671000.0,淨利（淨損）歸屬於非控制權益
209,2018-06-30,1103,IncomeLossFromDiscontinuedOperation,315683000.0,停業單位損益
210,2018-09-30,1103,IncomeBeforeIncomeTax,531826000.0,稅前淨利(淨損)
211,2018-09-30,1103,NetIncome,533950000.0,本期淨利(淨損)
212,2018-09-30,1103,OperatingExpenses,91379000.0,營業費用
213,2018-09-30,1103,TAX,-10961000.0,所得稅費用（利益）
214,2018-09-30,1103,EPS,0.75,基本每股盈餘（元）
215,2018-09-30,1103,PreTaxIncome,531826000.0,稅前淨利（淨損）
216,2018-09-30,1103,IncomeFromContinuingOperations,542787000.0,繼續營業單位本期淨利（淨損）
217,2018-09-30,1103,IncomeAfterTaxes,533950000.0,本期淨利（淨損）
218,2018-09-30,1103,TotalConsolidatedProfitForThePeriod,1268737000.0,本期綜合損益總額
219,2018-09-30,1103,Revenue,494280000.0,營業收入
220,2018-09-30,1103,CostOfGoodsSold,419665000.0,營業成本
221,2018-09-30,1103,GrossProfit,74615000.0,營業毛利（毛損）淨額
222,2018-09-30,1103,OperatingIncome,-16764000.0,營業利益（損失）
223,2018-09-30,1103,TotalNonoperatingIncomeAndExpense,548590000.0,營業外收入及支出
224,2018-09-30,1103,OtherComprehensiveIncome,734787000.0,其他綜合損益（淨額）
225,2018-09-30,1103,EquityAttributableToOwnersOfParent,483850000.0,淨利（淨損）歸屬於母公司業主
226,2018-09-30,1103,NoncontrollingInterests,50100000.0,淨利（淨損）歸屬於非控制權益
227,2018-09-30,1103,IncomeLossFromDiscontinuedOperation,-8837000.0,停業單位損益
228,2018-12-31,1103,IncomeBeforeIncomeTax,-316352000.0,稅前淨利(淨損)
229,2018-12-31,1103,NetIncome,-206473000.0,本期淨利(淨損)
230,2018-12-31,1103,OperatingExpenses,134019000.0,營業費用
231,2018-12-31,1103,TAX,97801000.0,所得稅費用（利益）
232,2018-12-31,1103,EPS,-0.28,基本每股盈餘（元）
233,2018-12-31,1103,PreTaxIncome,-316352000.0,稅前淨利（淨損）
234,2018-12-31,1103,IncomeFromContinuingOperations,-414153000.0,繼續營業單位本期淨利（淨損）
235,2018-12-31,1103,IncomeAfterTaxes,-206473000.0,本期淨利（淨損）
236,2018-12-31,1103,TotalConsolidatedProfitForThePeriod,-1732747000.0,本期綜合損益總額
237,2018-12-31,1103,Revenue,597199000.0,營業收入
238,2018-12-31,1103,CostOfGoodsSold,528161000.0,營業成本
